,Date,Title,Link
0,"September 9, 2024",Candid Therapeutics Raises $370M in Funding,https://www.finsmes.com/2024/09/candid-therapeutics-raises-370m-in-funding.html
1,"September 9, 2024",Bambusa Therapeutics Raises Approx. $15M in Series Seed Funding,https://www.finsmes.com/2024/09/bambusa-therapeutics-raises-approx-15m-in-series-seed-funding.html
2,"September 9, 2024",NetNow Raises $1.8M in Pre-Seed Funding,https://www.finsmes.com/2024/09/netnow-raises-1-8m-in-pre-seed-funding.html
3,"September 9, 2024","PIN AI secures $10M from a16z CSX, Hack VC, and All-Star angels to launch open platform for personal AI",https://www.finsmes.com/2024/09/pin-ai-secures-10m-from-a16z-csx-hack-vc-and-all-star-angels-to-launch-open-platform-for-personal-ai.html
4,"September 9, 2024",Mangomint Raises $35M in Series B Funding,https://www.finsmes.com/2024/09/mangomint-raises-35m-in-series-b-funding.html
5,"September 9, 2024",Superluminal Medicines Closes $120M Series A Funding,https://www.finsmes.com/2024/09/superluminal-medicines-closes-120m-series-a-funding.html
6,"September 9, 2024",double jump.tokyo Raises $10M in Funding,https://www.finsmes.com/2024/09/double-jump-tokyo-raises-10m-in-funding.html
7,"September 9, 2024",Odigos Raises $13M in Funding,https://www.finsmes.com/2024/09/odigos-raises-13m-in-funding.html
8,"September 9, 2024",CSA Medical Raises $53M in Series D Financing,https://www.finsmes.com/2024/09/csa-medical-raises-53m-in-series-d-financing.html
9,"September 9, 2024",ArcanaBio Raises Funding from BioInnovation Institute,https://www.finsmes.com/2024/09/arcanabio-raises-funding-from-bioinnovation-institute.html
10,"September 9, 2024","Castik Capital Closes EPIC III Fund, at €2 Billion",https://www.finsmes.com/2024/09/castik-capital-closes-epic-iii-fund-at-e2-billion.html
11,"September 9, 2024",Korint Raises €5M in Funding,https://www.finsmes.com/2024/09/korint-raises-e5m-in-funding.html
12,"September 9, 2024",Constantiam Biosciences Receives $2.05M Phase II SBIR Grant from NHGRI,https://www.finsmes.com/2024/09/constantiam-biosciences-receives-2-05m-phase-ii-sbir-grant-from-nhgri.html
13,"September 9, 2024",Citroniq Chemicals Raises $12M in Series A Financing,https://www.finsmes.com/2024/09/citroniq-chemicals-raises-12m-in-series-a-financing.html
14,"September 9, 2024",Epsilogen Closes £12.5M Series B Extension Financing,https://www.finsmes.com/2024/09/epsilogen-closes-12-5m-series-b-extension-financing.html
15,"September 9, 2024",MirrorWeb Raises $63M in Funding,https://www.finsmes.com/2024/09/mirrorweb-raises-63m-in-funding.html
16,"September 9, 2024",Cercli Raises $4M in Seed Funding,https://www.finsmes.com/2024/09/cercli-raises-4m-in-seed-funding.html
17,"September 9, 2024",Calyxia Raises $35M in Series B Funding,https://www.finsmes.com/2024/09/calyxia-raises-35m-in-series-b-funding.html
18,"September 9, 2024",OrsoBio Raises $67M in Series B Financing,https://www.finsmes.com/2024/09/orsobio-raises-67m-in-series-b-financing.html
19,"September 9, 2024",Somite Therapeutics Raises $4.8M Extension of Pre-Seed Funding,https://www.finsmes.com/2024/09/somite-therapeutics-raises-4-8m-extension-of-pre-seed-funding.html
20,"September 9, 2024",German Memecoin OceanDoge Launches with a Focus on Ocean Preservation,https://www.finsmes.com/2024/09/german-memecoin-oceandoge-launches-with-a-focus-on-ocean-preservation.html
21,"September 8, 2024",Doccla Raises £35M Series B Funding,https://www.finsmes.com/2024/09/doccla-raises-35m-series-b-funding.html
22,"September 6, 2024",Fastn Raises $2.6M in Seed Funding,https://www.finsmes.com/2024/09/fastn-raises-2-6m-in-seed-funding.html
23,"September 6, 2024",6K Raises $82M in Series E Funding,https://www.finsmes.com/2024/09/6k-raises-82m-in-series-e-funding.html
24,"September 6, 2024",YouMatch Raises $1.5M in Seed Funding,https://www.finsmes.com/2024/09/youmatch-raises-1-5m-in-seed-funding.html
25,"September 6, 2024",Vanilla Finance Receives Investment from HTX Ventures,https://www.finsmes.com/2024/09/vanilla-finance-receives-investment-from-htx-ventures.html
26,"September 6, 2024",Exacto Receives Growth Investment from S2G Ventures and Skyline Global Partners,https://www.finsmes.com/2024/09/exacto-receives-growth-investment-from-s2g-ventures-and-skyline-global-partners.html
27,"September 6, 2024",3DEO Receives $3.5M Strategic Investment from Mizuho Bank,https://www.finsmes.com/2024/09/3deo-receives-3-5m-strategic-investment-from-mizuho-bank.html
28,"September 6, 2024",MyndYou Receives Strategic Investment from WindRose Health,https://www.finsmes.com/2024/09/myndyou-receives-strategic-investment-from-windrose-health.html
29,"September 6, 2024",24M Raises $87M in Series H Funding,https://www.finsmes.com/2024/09/24m-raises-87m-in-series-h-funding.html
30,"September 6, 2024",Athlens Raises Angel Funding Round,https://www.finsmes.com/2024/09/athlens-raises-angel-funding-round.html
31,"September 6, 2024",Anytime AI Raises $4M in Funding,https://www.finsmes.com/2024/09/anytime-ai-raises-4m-in-funding.html
32,"September 6, 2024",Wombo Raises $9M in Funding,https://www.finsmes.com/2024/09/wombo-raises-9m-in-funding.html
33,"September 6, 2024",Wattnow Closes Multi-Million Dollar Funding,https://www.finsmes.com/2024/09/wattnow-closes-multi-million-dollar-funding.html
34,"September 5, 2024",Stylus Raises £500K in Funding,https://www.finsmes.com/2024/09/stylus-raises-500k-in-funding.html
35,"September 5, 2024",Thatch Raises $38M in Series A Funding,https://www.finsmes.com/2024/09/thatch-raises-38m-in-series-a-funding.html
36,"September 5, 2024",Mesa Quantum Raises $3.75M in Seed Funding,https://www.finsmes.com/2024/09/mesa-quantum-raises-3-75m-in-seed-funding.html
37,"September 5, 2024",Drip Capital Raises $113M in Funding,https://www.finsmes.com/2024/09/drip-capital-raises-113m-in-funding.html
38,"September 5, 2024",The Demex Group Raises $10.25M in Funding,https://www.finsmes.com/2024/09/the-demex-group-raises-10-25m-in-funding.html
39,"September 5, 2024",Ume Raises $15M in Series A Funding,https://www.finsmes.com/2024/09/ume-raises-15m-in-series-a-funding.html
40,"September 5, 2024",Sedric AI Raises $18.5M in Series A Funding,https://www.finsmes.com/2024/09/sedric-ai-raises-18-5m-in-series-a-funding.html
41,"September 5, 2024",Entalpic Raises €8.5M in Seed Funding,https://www.finsmes.com/2024/09/entalpic-raises-e8-5m-in-seed-funding.html
42,"September 5, 2024",Angel Kids AI Raises $1.1M in Seed Extension,https://www.finsmes.com/2024/09/angel-kids-ai-raises-1-1m-in-seed-extension.html
43,"September 5, 2024",E-PAL Raises $30M in Total,https://www.finsmes.com/2024/09/e-pal-raises-30m-in-total.html
44,"September 5, 2024",Portex Raises $6.25M in Seed Funding,https://www.finsmes.com/2024/09/portex-raises-6-25m-in-seed-funding.html
45,"September 5, 2024",Cobre Raises $35M in Series B Funding,https://www.finsmes.com/2024/09/cobre-raises-35m-in-series-b-funding.html
46,"September 5, 2024",HDAX Therapeutics Holds First Closing of USD$3.2M Seed Financing,https://www.finsmes.com/2024/09/hdax-therapeutics-holds-first-closing-of-usd3-2m-seed-financing.html
47,"September 5, 2024",CytoTronics Raises $13.5M in Series Seed 2 Financing,https://www.finsmes.com/2024/09/cytotronics-raises-13-5m-in-series-seed-2-financing.html
48,"September 5, 2024",Carbyon Closes €15.3M Series A Funding,https://www.finsmes.com/2024/09/carbyon-closes-e15-3m-series-a-funding.html
49,"September 5, 2024",Switch Bioworks Raises $17M in Seed Financing,https://www.finsmes.com/2024/09/switch-bioworks-raises-17m-in-seed-financing.html
50,"September 5, 2024",Malaa Raises $17.3M in Series A Funding,https://www.finsmes.com/2024/09/malaa-raises-17-3m-in-series-a-funding.html
51,"September 5, 2024",Acuvity Raises $9M in Seed Funding,https://www.finsmes.com/2024/09/acuvity-raises-9m-in-seed-funding.html
52,"September 5, 2024",AltScore Raises $8.5M in Series A Funding,https://www.finsmes.com/2024/09/altscore-raises-8-5m-in-series-a-funding.html
53,"September 5, 2024",Amtivo Receives Growth Investment from Audax Strategic Capital,https://www.finsmes.com/2024/09/amtivo-receives-growth-investment-from-audax-strategic-capital.html
54,"September 5, 2024",Capsa AI Raises £1.7M in Seed Funding,https://www.finsmes.com/2024/09/capsa-ai-raises-1-7m-in-seed-funding.html
55,"September 5, 2024",Rice Park Capital Management Closes RPC Ventures Fund II,https://www.finsmes.com/2024/09/rice-park-capital-management-closes-rpc-ventures-fund-ii.html
56,"September 5, 2024",Mantel Raises $30M in Series A Funding,https://www.finsmes.com/2024/09/mantel-raises-30m-in-series-a-funding.html
57,"September 5, 2024",Venova Medical Raises $30M in Series B Financing,https://www.finsmes.com/2024/09/venova-medical-raises-30m-in-series-b-financing.html
58,"September 5, 2024",Copilot Capital Makes Majority Investment in SecureFlag,https://www.finsmes.com/2024/09/copilot-capital-makes-majority-investment-in-secureflag.html
59,"September 5, 2024",Ediphi Raises $1.5M in Funding,https://www.finsmes.com/2024/09/ediphi-raises-1-5m-in-funding.html
60,"September 5, 2024",IdentifAI Raises €2.2M in Seed Funding,https://www.finsmes.com/2024/09/identifai-raises-e2-2m-in-seed-funding.html
61,"September 5, 2024",Reonic Raises €13M in Series A Funding,https://www.finsmes.com/2024/09/reonic-raises-e13m-in-series-a-funding.html
62,"September 5, 2024",threatER Receives Financing from CIBC Innovation Banking,https://www.finsmes.com/2024/09/threater-receives-financing-from-cibc-innovation-banking.html
63,"September 5, 2024",ATLAS Space Operations Raises $15M in Growth Funding,https://www.finsmes.com/2024/09/atlas-space-operations-raises-15m-in-growth-funding.html
64,"September 5, 2024",Vesta Healthcare Raises $65M in Financing,https://www.finsmes.com/2024/09/vesta-healthcare-raises-65m-in-financing.html
65,"September 5, 2024",DubClub Raises $7.5M in Series A Funding,https://www.finsmes.com/2024/09/dubclub-raises-7-5m-in-series-a-funding.html
66,"September 5, 2024",Oyster Raises $59M in Series D Funding,https://www.finsmes.com/2024/09/oyster-raises-59m-in-series-d-funding.html
67,"September 5, 2024",You.com Raises $50M in Series B Funding,https://www.finsmes.com/2024/09/you-com-raises-50m-in-series-b-funding.html
68,"September 5, 2024",Create Wellness Raises $5M in Series A Funding,https://www.finsmes.com/2024/09/create-wellness-raises-5m-in-series-a-funding.html
69,"September 5, 2024",Agree.com Raises $3M in Pre-Seed Funding,https://www.finsmes.com/2024/09/agree-com-raises-3m-in-pre-seed-funding.html
70,"September 5, 2024",Abanza Raises $5M in Pre-Series A Funding,https://www.finsmes.com/2024/09/abanza-raises-5m-in-pre-series-a-funding.html
71,"September 4, 2024",Business Kitz Closes $3.3M Pre-Seed Funding,https://www.finsmes.com/2024/09/business-kitz-closes-3-3m-pre-seed-funding.html
72,"September 4, 2024",Galy Raises $33M in Series B Financing,https://www.finsmes.com/2024/09/galy-raises-33m-in-series-b-financing.html
73,"September 4, 2024",EnClear Therapies Secures Additional Funding,https://www.finsmes.com/2024/09/enclear-therapies-secures-additional-funding.html
74,"September 4, 2024",Flex Raises $3.2M Seed Funding,https://www.finsmes.com/2024/09/flex-raises-3-2m-seed-funding.html
75,"September 4, 2024",TippingPoint Biosciences Closes Pre-Seed Funding,https://www.finsmes.com/2024/09/tippingpoint-biosciences-closes-pre-seed-funding.html
76,"September 4, 2024",Skillvue Raises $2.8M in Funding,https://www.finsmes.com/2024/09/skillvue-raises-2-8m-in-funding.html
77,"September 4, 2024",PatientPartner Raises $7M in Seed Funding,https://www.finsmes.com/2024/09/patientpartner-raises-7m-in-seed-funding.html
78,"September 4, 2024",ITC Federal Receives Investment from Blue Delta Capital Partners,https://www.finsmes.com/2024/09/itc-federal-receives-investment-from-blue-delta-capital-partners.html
79,"September 4, 2024",Revefi Raises $20M in Series A Funding,https://www.finsmes.com/2024/09/revefi-raises-20m-in-series-a-funding.html
80,"September 4, 2024",Trestle Raises $2.3M in Pre-Seed Funding,https://www.finsmes.com/2024/09/trestle-raises-2-3m-in-pre-seed-funding.html
81,"September 4, 2024",Root Signals Raises $2.8M in Funding,https://www.finsmes.com/2024/09/root-signals-raises-2-8m-in-funding.html
82,"September 4, 2024",Odeeo Closes $5M Funding Round,https://www.finsmes.com/2024/09/odeeo-closes-5m-funding-round.html
83,"September 4, 2024",Re-Leased Raises US$12.5M in Funding,https://www.finsmes.com/2024/09/re-leased-raises-us12-5m-in-funding.html
84,"September 4, 2024",Clouds of Care Raises €5M in Funding,https://www.finsmes.com/2024/09/clouds-of-care-raises-e5m-in-funding.html
85,"September 4, 2024",Cortex Raises $60M in Series C Funding,https://www.finsmes.com/2024/09/cortex-raises-60m-in-series-c-funding.html
86,"September 4, 2024",CeresAI Closes Series D Funding,https://www.finsmes.com/2024/09/ceresai-closes-series-d-funding.html
87,"September 4, 2024",Sonoma Biotherapeutics Receives $45M Investment From Regeneron Pharmaceuticals,https://www.finsmes.com/2024/09/sonoma-biotherapeutics-receives-45m-investment-from-regeneron-pharmaceuticals.html
88,"September 4, 2024",Cognitive Credit Raises $10M in Series B Funding,https://www.finsmes.com/2024/09/cognitive-credit-raises-10m-in-series-b-funding.html
89,"September 4, 2024",eGenesis Raises $191M in Series B Funding,https://www.finsmes.com/2024/09/egenesis-raises-191m-in-series-b-funding.html
90,"September 4, 2024",ArsenalBio Raises $325M in Series C Funding,https://www.finsmes.com/2024/09/arsenalbio-raises-325m-in-series-c-funding.html
91,"September 4, 2024",Hypernative Raises $16M in Series A Funding,https://www.finsmes.com/2024/09/hypernative-raises-16m-in-series-a-funding.html
92,"September 4, 2024",Revrag.ai Raises $600K in Pre-Seed Funding,https://www.finsmes.com/2024/09/revrag-ai-raises-600k-in-pre-seed-funding.html
93,"September 4, 2024",Hepta Medical Raises €5.7M in Series A Funding,https://www.finsmes.com/2024/09/hepta-medical-raises-e5-7m-in-series-a-funding.html
94,"September 4, 2024",Monda Raises $5M in Seed Funding,https://www.finsmes.com/2024/09/monda-raises-5m-in-seed-funding.html
95,"September 4, 2024",Riyadh Valley Company Invests in Raed Ventures’ Third Fund ,https://www.finsmes.com/2024/09/riyadh-valley-company-invests-in-raed-ventures-third-fund.html
96,"September 4, 2024",Palm Raises $6.1M in Seed Funding,https://www.finsmes.com/2024/09/palm-raises-6-1m-in-seed-funding.html
97,"September 4, 2024",Tru Consulting Receives Strategic Growth Investment from Superstep Capital,https://www.finsmes.com/2024/09/tru-consulting-receives-strategic-growth-investment-from-superstep-capital.html
98,"September 4, 2024",Tiptapp Raises €1M in Funding,https://www.finsmes.com/2024/09/tiptapp-raises-e1m-in-funding.html
99,"September 4, 2024",Baseload Capital Closes €53M Series B Funding Round,https://www.finsmes.com/2024/09/baseload-capital-closes-e53m-series-b-funding-round.html
100,"September 4, 2024",Steerlab Raises $1.9M in Pre-Seed Funding,https://www.finsmes.com/2024/09/steerlab-raises-1-9m-in-pre-seed-funding.html
101,"September 3, 2024",Oxylus Energy Raises $4.5M in Seed Funding,https://www.finsmes.com/2024/09/oxylus-energy-raises-4-5m-in-seed-funding.html
102,"September 3, 2024",Segmed Raises $10.4M in Series A Funding,https://www.finsmes.com/2024/09/segmed-raises-10-4m-in-series-a-funding.html
103,"September 3, 2024",Vesta Healthcare Receives $35M Loan Facility From Horizon Technology Finance,https://www.finsmes.com/2024/09/vesta-healthcare-receives-35m-loan-facility-from-horizon-technology-finance.html
104,"September 3, 2024",GSE Worldwide Receives Strategic Investment from BC Partners Credit and Gatemore Capital Management,https://www.finsmes.com/2024/09/gse-worldwide-receives-strategic-investment-from-bc-partners-credit-and-gatemore-capital-management.html
105,"September 3, 2024",Blitzy Raises $4.4M in Initial Funding,https://www.finsmes.com/2024/09/blitzy-raises-4-4m-in-initial-funding.html
106,"September 3, 2024",Unlock Technologies Raises $280M Capital Commitment,https://www.finsmes.com/2024/09/unlock-technologies-raises-280m-capital-commitment.html
107,"September 3, 2024",Champion Raises $3.3M in Seed Funding,https://www.finsmes.com/2024/09/champion-raises-3-3m-in-seed-funding.html
108,"September 3, 2024",Circle Pharma Closes $90M Series D Financing,https://www.finsmes.com/2024/09/circle-pharma-closes-90m-series-d-financing.html
109,"September 3, 2024",Placy Raises €1M in Pre-Seed Funding,https://www.finsmes.com/2024/09/placy-raises-e1m-in-pre-seed-funding.html
110,"September 3, 2024",Irubis Raises Pre-Series A Funding,https://www.finsmes.com/2024/09/irubis-raises-pre-series-a-funding.html
111,"September 3, 2024",BillEase Raises Series C Funding,https://www.finsmes.com/2024/09/billease-raises-series-c-funding.html
112,"September 3, 2024",Treble Raises €11M in Series A Funding,https://www.finsmes.com/2024/09/treble-raises-e11m-in-series-a-funding.html
113,"September 3, 2024",IDA Raises USD6M in Seed Funding,https://www.finsmes.com/2024/09/ida-raises-usd6m-in-seed-funding.html
114,"September 3, 2024",Warehow Raises £2.1M in Series A Funding,https://www.finsmes.com/2024/09/warehow-raises-2-1m-in-series-a-funding.html
115,"September 2, 2024",Approveit Raises $1M in Funding,https://www.finsmes.com/2024/09/approveit-raises-1m-in-funding.html
116,"September 2, 2024",Signol Raises £2.5M in Funding,https://www.finsmes.com/2024/09/signol-raises-2-5m-in-funding.html
117,"September 2, 2024",NxtQube Raises Seed Funding,https://www.finsmes.com/2024/09/nxtqube-raises-seed-funding.html
118,"September 2, 2024",GoChallenge Receives Investment from Former Manchester United Star John O’SheaGo,https://www.finsmes.com/2024/09/gochallenge-receives-investment-from-former-manchester-united-star-john-osheago.html
119,"September 2, 2024",Crafty Apes Receives Strategic Funding,https://www.finsmes.com/2024/09/crafty-apes-receives-strategic-funding.html
120,"September 2, 2024",Knowde Raises $60M in Series C Funding,https://www.finsmes.com/2024/09/knowde-raises-60m-in-series-c-funding.html
121,"September 2, 2024",ThinkCyte Raises $15M; Closes $32M Series C,https://www.finsmes.com/2024/09/thinkcyte-raises-15m-closes-32m-series-c.html
